test,Abbr,unit,normalrange,group
"تعيين پرايمر برايDrb3.DRB2.DRB1.HLA
",,,"Working Days: Everyday
Days to Report: ",genetic
"تطبيق نمونه ها از طريق Y-str
",,,"Working Days: Everyday
Days to Report: ",genetic
"paternity -ind- پدر-فرزندي خويشاوندي
",,,"Working Days: Everyday
Days to Report: ",genetic
"paternity-ind-جد مادري
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي خويشاوندي برادري-جد پدري
",,,"Working Days: Everyday
Days to Report: ",genetic
"تطبيق نمونه ها از طريق DNA-ind
",,,"Working Days: Everyday
Days to Report: ",genetic
"تطبيق نمونه ها از طريق جد پدر- برادري-ind
",,,"Working Days: Everyday
Days to Report: ",genetic
"تعيين توالي اگزون-IND
",,,"Working Days: Everyday
Days to Report: ",genetic
"تعيين توالي اگزون3
",,,"Working Days: Everyday
Days to Report: ",genetic
"تعيين توالي اگزون4
",,,"Working Days: Everyday
Days to Report: ",genetic
"تعيين توالي اگزون5
",,,"Working Days: Everyday
Days to Report: ",genetic
"تعيين توالي اگزون6
",,,"Working Days: Everyday
Days to Report: ",genetic
"تعيين توالي اگزون7
",,,"Working Days: Everyday
Days to Report: ",genetic
"تعيين توالي اگزون8
",,,"Working Days: Everyday
Days to Report: ",genetic
"تعيين توالي اگزون9
",,,"Working Days: Everyday
Days to Report: ",genetic
"تعيين توالي اگزون10
",,,"Working Days: Everyday
Days to Report: ",genetic
"تعيين توالي اگزون11
",,,"Working Days: Everyday
Days to Report: ",genetic
"تعيين توالي اگزون12
",,,"Working Days: Everyday
Days to Report: ",genetic
"تعيين توالي اگزون13
",,,"Working Days: Everyday
Days to Report: ",genetic
"تعيين توالي اگزون14
",,,"Working Days: Everyday
Days to Report: ",genetic
"تعيين توالي اگزون15
",,,"Working Days: Everyday
Days to Report: ",genetic
"تعيين توالي اگزون16
",,,"Working Days: Everyday
Days to Report: ",genetic
"تعيين توالي اگزون17
",,,"Working Days: Everyday
Days to Report: ",genetic
"تعيين توالي اگزون 18
",,,"Working Days: Everyday
Days to Report: ",genetic
"تعيين توالي اگزون19
",,,"Working Days: Everyday
Days to Report: ",genetic
"تعيين توالي اگزون20
",,,"Working Days: Everyday
Days to Report: ",genetic
"تعيين توالي اگزون21
",,,"Working Days: Everyday
Days to Report: ",genetic
"غربالگري دابل مارکر
",,,"Working Days: Everyday
Days to Report: ",genetic
"تريپل مارکر 
",,,"Working Days: Everyday
Days to Report: ",genetic
"Beta thal PND 2
",,,"Working Days: Everyday
Days to Report: ",genetic
"Alpha thal PND2
",,,"Working Days: Everyday
Days to Report: ",genetic
"SMA-PND
",,,"Working Days: Everyday
Days to Report: ",genetic
"PND2-Sickle Cell mutation
",,,"Working Days: Everyday
Days to Report: ",genetic
"SICKLE-PND
",,,"Working Days: Everyday
Days to Report: ",genetic
"PND2-Cystic Fibrosis- mutation
",,,"Working Days: Everyday
Days to Report: ",genetic
"PND2-Fragile X-Mol
",,,"Working Days: Everyday
Days to Report: ",genetic
"gaucher
",,,"Working Days: Everyday
Days to Report: ",genetic
"PND2-Gaucher mutation
",,,"Working Days: Everyday
Days to Report: ",genetic
"CF-PND
",,,"Working Days: Everyday
Days to Report: ",genetic
"نقص انعقادي هموفيلي A/B..مرحله دوم تعيين جنسيت
",,,"Working Days: Everyday
Days to Report: ",genetic
"هموفيلي A/Bتعيين وضعيت نهايي جنين
",,,"Working Days: Everyday
Days to Report: ",genetic
"حذف ژني مرحله اول
",,,"Working Days: Everyday
Days to Report: ",genetic
"PND2-Duchenne-mutation
",,,"Working Days: Everyday
Days to Report: ",genetic
"حذف ژني مرحله سوم تعيين  نهايي وضعيت جنين
",,,"Working Days: Everyday
Days to Report: ",genetic
"Factor XIII mutation
",,,"Working Days: Everyday
Days to Report: ",genetic
"Factor-V (Leiden)
",,,"Working Days: Everyday
Days to Report: ",genetic
"Factor 5
",,,"Working Days: Everyday
Days to Report: ",genetic
"PTT-Pro-Thrombi (Factor II)
",,,"Working Days: Everyday
Days to Report: ",genetic
"Factor2
",,,"Working Days: Everyday
Days to Report: ",genetic
"تغيير تک بازي
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي تک بازي
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي يک تغيير تک بازي نقش دارويي
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي يک تغيير تک يازي
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي موتاسيون داروئي
",,,"Working Days: Everyday
Days to Report: ",genetic
"نقص Alfa Tripsin
",,,"Working Days: Everyday
Days to Report: ",genetic
" 1تريپسين نقص الفا-1موتاسيون
",,,"Working Days: Everyday
Days to Report: ",genetic
"PAI gene- mutation
",,,"Working Days: Everyday
Days to Report: ",genetic
"واريانت تک نوکلئوتيدي
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي واريانت تک نوکلئوتيدي ARMS
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي يک واريانت تک نوکلئوتيدي
",,,"Working Days: Everyday
Days to Report: ",genetic
"BRAF/1mutation
",,,"Working Days: Everyday
Days to Report: ",genetic
"Clotting Panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"MTH-FR gene- Mutation
",,,"Working Days: Everyday
Days to Report: ",genetic
"FMF-
",,,"Working Days: Everyday
Days to Report: ",genetic
"Haemachromatosis- HEF- mutation
",,,"Working Days: Everyday
Days to Report: ",genetic
"موتاسيون هاي شايع همو کرو ما تو
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي موتاسيون هاي شايع همو کروماتو
",,,"Working Days: Everyday
Days to Report: ",genetic
"AZFبررسي حذف نواحي
",,,"Working Days: Everyday
Days to Report: ",genetic
"AZF
",,,"Working Days: Everyday
Days to Report: ",genetic
"SRY/Sex Determination
",,,"Working Days: Everyday
Days to Report: ",genetic
"FLT-3-AML mutation
",,,"Working Days: Everyday
Days to Report: ",genetic
"JAK2-Leukemia v617F mutation   
",,,"Working Days: Everyday
Days to Report: ",genetic
"cKIT
",,,"Working Days: Everyday
Days to Report: ",genetic
"K-ras- Lung & Gastrointestinal Cancer
",,,"Working Days: Everyday
Days to Report: ",genetic
"KRAS mutation
",,,"Working Days: Everyday
Days to Report: ",genetic
"NRAS
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي موتاسيون ها ي ALK
",,,"Working Days: Everyday
Days to Report: ",genetic
"EGFR gene- Cancer mutation
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي موتاسيون به روش کمي
",,,"Working Days: Everyday
Days to Report: ",genetic
"RT-PCR translocation (1,19) AML
",,,"Working Days: Everyday
Days to Report: ",genetic
"RT-PCR translocation (9,22) Quantitative II leukem",,,"Working Days: Everyday
Days to Report: ",genetic
"RT-PCR inv(16)- leukemia
",,,"Working Days: Everyday
Days to Report: ",genetic
"RT-PCR translocation (1,19)-leukemia 
",,,"Working Days: Everyday
Days to Report: ",genetic
"RT-PCR translocation (12,21)-leukemia 
",,,"Working Days: Everyday
Days to Report: ",genetic
"RT-PCR translocation (15,17)-leukemia 
",,,"Working Days: Everyday
Days to Report: ",genetic
"RT-PCR translocation (4,11)-leukemia 
",,,"Working Days: Everyday
Days to Report: ",genetic
"RT-PCR translocation (8,21)-leukemia 
",,,"Working Days: Everyday
Days to Report: ",genetic
"RT-PCR translocation (9,22)-leukemia 
",,,"Working Days: Everyday
Days to Report: ",genetic
"RT-PCR translocation (TAL1D)-leukemia 
",,,"Working Days: Everyday
Days to Report: ",genetic
"RT-PCR ترنس لوکميا
",,,"Working Days: Everyday
Days to Report: ",genetic
"RT-PCR ترنس لوسمي
",,,"Working Days: Everyday
Days to Report: ",genetic
"RT-PCR translocation leukemia
",,,"Working Days: Everyday
Days to Report: ",genetic
"Sickle Cell Family mutation
",,,"Working Days: Everyday
Days to Report: ",genetic
"سيکل سل مرحله اول پدر فرزند
",,,"Working Days: Everyday
Days to Report: ",genetic
"سيکل سل مرحله اول مادر فرزند
",,,"Working Days: 
Days to Report: ",genetic
"Achondroplasia
",,,"Working Days: Everyday
Days to Report: ",genetic
"Mutation Confirmation- rare mutation
",,,"Working Days: Everyday
Days to Report: ",genetic
"mutation confermation
",,,"Working Days: Everyday
Days to Report: ",genetic
"1-Mutation -Family
",,,"Working Days: Everyday
Days to Report: ",genetic
"Ataxi Feredrich
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي  تکرارهاي 3 نوکلئوئيدي آتاکسي فردريش
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي  تکرارهاي 3 نوکلئوتيدي در ديستروني ميوتوني
",,,"Working Days: Everyday
Days to Report: ",genetic
"ديستروفي ميوتونيک
",,,"Working Days: Everyday
Days to Report: ",genetic
"هانتينکتون
",,,"Working Days: Everyday
Days to Report: ",genetic
"Fragile X-Mol-Ind
",,,"Working Days: Everyday
Days to Report: ",genetic
"SCA
",,,"Working Days: Everyday
Days to Report: ",genetic
بررسي موتاسيون کمپلکس مواردي که حذف يا واژگوني دار,,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي inversion 22)(هموفيليَ
",,,"Working Days: Everyday
Days to Report: ",genetic
بتا تالاسمي (فقط بررسي جهش هاي )پدر به همراه فرزند,,,"Working Days: Everyday
Days to Report: ",genetic
بتا تالاسمي (فقط بررسي جهش شاي)مادر به همراه فرزند,,,"Working Days: Everyday
Days to Report: ",genetic
"پي کي يو(فقط بررسي جهش هاي شايع)پدر به فرزند
",,,"Working Days: Everyday
Days to Report: ",genetic
"پي کي يو (فقط بررسي جهش هاي شايع)مادر به فرزند
",,,"Working Days: Everyday
Days to Report: ",genetic
آلفا تالاسمي (فقط بررسي حذف هاي شايع)پدر به فرزند,,,"Working Days: Everyday
Days to Report: ",genetic
آلفا تالاسمي (فقط بررسي حذف هاي شاي) مادر به فرزند,,,"Working Days: Everyday
Days to Report: ",genetic
"Cystic Fibrosis- mutation
",,,"Working Days: Everyday
Days to Report: ",genetic
"Cystic fibrosis CFTR
",,,"Working Days: Everyday
Days to Report: ",genetic
"CF فقط بررسي جهش هاي شايع پدر وفرزند
",,,"Working Days: Everyday
Days to Report: ",genetic
"CF فقط بررسي جهش هاي شايع پدر وفرزند
",,,"Working Days: Everyday
Days to Report: ",genetic
"CF فقط بررسي جهش هاي شايع مادر به فرزند
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي 2تا10 موتاسيون شايع در يک بيماري
",,,"Working Days: Everyday
Days to Report: ",genetic
"Connexin- Ind deafnessپدر فرزند
",,,"Working Days: Everyday
Days to Report: ",genetic
"NPM-1 gene mutation- Aml
",,,"Working Days: Everyday
Days to Report: ",genetic
"Connexin26مادرفرزندي 
",,,"Working Days: Everyday
Days to Report: ",genetic
"تعيين توالي يک اگزون
",,,"Working Days: Everyday
Days to Report: ",genetic
"Beta Thalassemia
",,,"Working Days: Everyday
Days to Report: ",genetic
"مرحله اول تالاسمي بتا پدر -فرزند
",,,"Working Days: Everyday
Days to Report: ",genetic
"مرحله اول تالاسمي بتا مادر فرزند
",,,"Working Days: Everyday
Days to Report: ",genetic
"Alpha Thalassemia
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي مرحله اول تالاسمي آلفا پدر به فرزند
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي مرحله اول تالاسمي آلفا مادر به فرزند
",,,"Working Days: Everyday
Days to Report: ",genetic
"اتروفي عضلاني اسپينال/ SMA-Ind
",,,"Working Days: Everyday
Days to Report: ",genetic
"مرحله اول SMAبراي پدر به همراه فرزند
",,,"Working Days: Everyday
Days to Report: ",genetic
"مرحله اول SMAبراي مادر به فرزند
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي دوپليکاسيونPMP22درشارکوت توث
",,,"Working Days: Everyday
Days to Report: ",genetic
"موتاسيون ژن v-HL(در بيماري von Hippel
",,,"Working Days: Everyday
Days to Report: ",genetic
"تعيين توالي 2-5 اگزون
",,,"Working Days: Everyday
Days to Report: ",genetic
"Duchenne-Ind
",,,"Working Days: Everyday
Days to Report: ",genetic
"Duchenne- Family
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي حذف هاي ژن DmD دربيماران دوشن وبکر
",,,"Working Days: Everyday
Days to Report: ",genetic
"CAH- mutation
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي تمام اگزونها در بيماري هموفيلي
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي بيماري شوگرن لارسن ژنALDH3A2
",,,"Working Days: Everyday
Days to Report: ",genetic
"کاناوان ژن ASPA
",,,"Working Days: Everyday
Days to Report: ",genetic
"سندروم SLOS - ژن DHCR7
",,,"Working Days: Everyday
Days to Report: ",genetic
"سندروم ولفرام ژن WFS1
",,,"Working Days: Everyday
Days to Report: ",genetic
"فاکتور7-ژن F7
",,,"Working Days: Everyday
Days to Report: ",genetic
"نقص فاکتور 10 انعقادي
",,,"Working Days: Everyday
Days to Report: ",genetic
"سندرم برنارد بررسي ژن هاي GPIBA
",,,"Working Days: Everyday
Days to Report: ",genetic
"سندرم برنارد بررسي ژن هاي GPIPB
",,,"Working Days: Everyday
Days to Report: ",genetic
"سندروم برنارد در ژن هاي
",,,"Working Days: Everyday
Days to Report: ",genetic
"6-10 اگزون
",,,"Working Days: Everyday
Days to Report: ",genetic
"بدونCGHA QF
",,,"Working Days: Everyday
Days to Report: ",genetic
"بدونCGHA QF1
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي ژن APCدرپوليپوزيس ارثي
",,,"Working Days: Everyday
Days to Report: ",genetic
"ادنوزين د اميناز ژن ADA
",,IU/L,"Working Days: Everyday
Days to Report: 
Csf: up to 9.0
Pleural: up to 30
Other fluids: up to 30",genetic
"ژن کامل فاکتور 2
",,,"Working Days: Everyday
Days to Report: ",genetic
"ژن کامل در فاکتور 5
",,,"Working Days: Everyday
Days to Report: ",genetic
"ژن کامل در فاکتور 11
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي ژن BLMدر سندروم بلوم
",,,"Working Days: Everyday
Days to Report: ",genetic
"ژن CDH1-Gastric cancer
",,,"Working Days: Everyday
Days to Report: ",genetic
"سندروم  Li-Fraumeni در ژن TP53
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي ژن wAS در سندروم ويسکوت الدريج
",,,"Working Days: Everyday
Days to Report: ",genetic
"11-25 اگزون
",,,"Working Days: Everyday
Days to Report: ",genetic
"Sequencing Cystic Fibrosis
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي بيماري CFبا روش تعيين توالي کل ژن 
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي هموفيلي Aبا روش تعيين توالي کل ژن
",,,"Working Days: Everyday
Days to Report: ",genetic
"RB1-رتينو بلاستوما
",,,"Working Days: Everyday
Days to Report: ",genetic
"بر رسي ژن RBI
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي ژن CLCN7 در بيماري اسئوپتروز
",,,"Working Days: Everyday
Days to Report: ",genetic
"26-50 اگزون
",,,"Working Days: Everyday
Days to Report: ",genetic
"ساير اگزون26-50
",,,"Working Days: Everyday
Days to Report: ",genetic
"BRCA panel (MLPA-BRCA I,II)
",,,"Working Days: Everyday
Days to Report: ",genetic
"ژنهاي BRCa1-BRCA2 در سرطان پستان
",,,"Working Days: Everyday
Days to Report: ",genetic
"تعيين توالي بيش از 50 اگزون
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي 1تا20 ژن توسط NGS
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي 21تا50 ژن توسط NGS
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Premature Ovarian Failure (18 Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي 51تا 200ژن توسط NGS
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Deafness panel all known gene
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Neuromuscular panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Metabolic disease panel (being complete)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS- Hearing Loss 117 gene
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Metabolic Disease
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Muscular Dystrophy
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Bardet-Biedlsyndrome(20Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Corpus Callosum Agenesis (107Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-CMT& Sensory Neuropathies(83 Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Exome
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Hearing Loss(90 Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-MR(syndromic & non- syndromicID)(579Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Muscular Dystrophy(48 Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-SMA(22Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Congenital & Distal Myopathies(66Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS- Metabolic Myopathies (39 Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Myotonia(11 Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Hereditary spastic paraplegia(61 Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Dystonia(40 Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Ataxia(50 Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Microcephaly,PontocerebellarHypoplasia,Cortica",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Neuronal Migrathon Disorders (46 Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
NGS-Congenital Disorders of Glycosylation (33Genes,,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Lysosomal Disorders (27 Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Peroxisomal Disorders (16 Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Coenzyme Q Deficiency
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Glutaric Aciduria(4 Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Glycine Encephalopathy(3 Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Hyerphenylalaninemia(4 Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Joubert Syndrome (23 Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Episodic Ataxia(8 Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Pediatric Epilepsies(29 Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Syndromic ID (214 Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Ichthyosis(18 Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Disorders of Sex Development(46 Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-X-Linked MR (X-linked ID) (106 Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Neurofibromatosis(11 Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Osteogenesis imperfecta (18Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Epidermolysis bullosa (18 Genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Panel Breast Cancer(4 genes)
",,,"Working Days: Everyday
Days to Report: ",genetic
" NGS-Syndrome Marfan
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-MMAC
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Tyrosinemia type I
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS- Noonan
",,,"Working Days: Everyday
Days to Report: ",genetic
"Exome Sequencing Rasearch
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Cornelia delange
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS- Niemann Pick
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS- seckel syndrome
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS- Osteopetrosis
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Ichthyosis panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-lissencephaly panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Diabetes neonatal panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Lysosomal storge disease panel 13 GEN
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Glycosylation disorder panel-NGS
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Diamond blackfan anemia
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-MODY panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Glycogen storge diease panel advanced
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Mucopolysaccharidosis panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Urea cycle disorder panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Zellweger syndrome panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Aicardi-Goutieres syndrome panel
",,,"Working Days: Everyday
Days to Report: ",genetic
" NGS-Alzheimer dementia and dementia panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Amyotrophic lateral sclerosis ALS panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Bethlem myopathy panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Cerebellar ataxia panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Ceroid lipofucinosis panel
",,,"Working Days: Everyday
Days to Report: ",genetic
NGS-CMT neuropathy axonal autosomal dominant panel,,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-CMT neuropathy  demyelinating panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Congenital myasthentic syndrome panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Congenital myopathy panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Dejerine-Sottas syndrome panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Dementia panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Dravet syndrome panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Dystonia panel(9 Gen)
",,,"Working Days: Everyday
Days to Report: ",genetic
NGS-early infantile epileptic encephalopathy panel,,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Epilpsy absence in childhood panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Epilepsy partial hereditary panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Epileptic encephalopathy panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Episodic ataxia panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Familial hemiplegic migraine panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Frontotemporal dementia panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-hereditary hyperekplexia panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGSLimb-girdle muscular dystrophy panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Malignant hyperthermia panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Mental retardation, X linked panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Metabolic myopathies panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Tuberous sclerosis panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Microcephaly panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Mitochondrial dysfunctions panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Myofibrillar myopathy panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Myopathy-rhabdomyolysis syndrome panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Nemaline myopathy panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Parkinsons disease panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Pontocerebellar hypoplasia panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-SCA panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Spastic paraolegia panel autosomal dominant
",,,"Working Days: Everyday
Days to Report: ",genetic
"NG-Spastic paraolegia panel autosomal recessive
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Ullrich muscular dystrophy panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Walker-Warburg syndrome panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Albinism panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Cataract panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Cone-rod and cone dystrophy panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Flecked retina panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Hermansky-Pudlak syndrome panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Vitreoretinopathy and Wagner syndrome panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Leber optic atrophy panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Microphthalmia panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Oculomotor apraxia panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Optic atrophy panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Leber congenital amaurosis panel
",,,"Working Days: Everyday
Days to Report: ",genetic
NGS-Retinitis pigmentosa panel autosomal dominant,,,"Working Days: Everyday
Days to Report: ",genetic
NGS-Retinitis pigmentosa panel autosomal recessive,,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Stargardt diease panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Stickler syndrome panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Alport syndrome panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Ciliary dyskinesia panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Bartter syndrome panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Cornelia de Lange syndrome panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Ehlers-Danlos syndrome panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Epidermolysis bullosa panel 4gen
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Epilepsy with febrile seizures panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Osteogenesis imperfecta panel 
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Osteogenesis  panel 
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Aortic aneurysm hereditary thoracic panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Arthrogryposis panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Long QT syndrome panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Cardiomyopathy dilated panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Cardiomyopathy hypertrophic panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Marfan syndrome and related disorder panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Brugada syndrome panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Arrhthmia herditary panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Polycystic kidney panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Bardet Biedl panel
",,,"Working Days: Everyday
Days to Report: ",genetic
